hcode,name,registration_type,affiliation,phone,website,address_no,moo,soi,road,subdistrict,district,province,postal_code,uc_phone,uc_email,doc_email,coordinators
G8898,กลุ่มเพื่อนไดโนเสาร์,หน่วยบริการที่รับการส่งต่อ,เอกชน,0801460649,,48,10,,,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,46140,,,,
G1449,"กลุ่ม M.QUEER",หน่วยบริการที่รับการส่งต่อ,เอกชน,0918617818,,55,12,,,คำแคน,มัญจาคีรี,ขอนแก่น,40160,,,,
G1457,"กลุ่มแอ็คทีม จังหวัดขอนแก่น",หน่วยบริการที่รับการส่งต่อ,เอกชน,0955421866,,"164 /29",,,ชาตะผดุง,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,,,,
F0411,"สมาคมวางแผนครอบครัวแห่งประเทศไทย สำนักงานภูมิภาค (ภาคตะวันออกเฉียงเหนือ)",หน่วยบริการที่รับการส่งต่อ,เอกชน,043223627,,752-754,,,ศรีจันทร์,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,,,,
F0385,มูลนิธิซิสเตอร์,หน่วยบริการที่รับการส่งต่อ,เอกชน,033-035367,,417/64-65,09,อรุโณทัย,พัทยากลาง,หนองปรือ,บางละมุง,ชลบุรี,20150,,,,
F0413,"มูลนิธิเพื่อนพนักงานบริการ (SWING) จังหวัดชลบุรี",หน่วยบริการที่รับการส่งต่อ,เอกชน,038412297,,45/54,10,,,หนองปรือ,บางละมุง,ชลบุรี,20250,,,,
F0409,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย สำนักงานจังหวัดชลบุรี",หน่วยบริการที่รับการส่งต่อ,เอกชน,038-195073,,94/6,04,,สุขุมวิท,บ้านสวน,เมืองชลบุรี,ชลบุรี,20000,,,,
G0289,"เครือข่ายสายชล จังหวัดชลบุรี",หน่วยบริการที่รับการส่งต่อ,เอกชน,0970696417,,29/65,03,,,สัตหีบ,สัตหีบ,ชลบุรี,20180,,,,
G8937,กลุ่มพลังรัก,หน่วยบริการที่รับการส่งต่อ,เอกชน,0983478694,,12,,,บรรณาการ,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,36000,,,,
G8907,กลุ่มเพื่อนวันใหม่โรงพยาบาลภูเขียว,หน่วยบริการที่รับการส่งต่อ,เอกชน,0874401566,,149,04,,ภูเขียว-ชุมแพ,ผักปัง,ภูเขียว,ชัยภูมิ,36110,,,,
G8938,กลุ่มเพื่อนเกษตรสมบูรณ์โรงพยาบาลเกษตรสมบูรณ์,หน่วยบริการที่รับการส่งต่อ,เอกชน,0986161281,,555,01,,,บ้านยาง,เกษตรสมบูรณ์,ชัยภูมิ,36120,,,,
G8894,กลุ่มดอกหญ้า,หน่วยบริการที่รับการส่งต่อ,เอกชน,0824739471,,69,,,,ทับเที่ยง,เมืองตรัง,ตรัง,92000,,,,"นางสาวอรุณี คงแก้ว <arunee17112520@gmail.com> 0824739471"
G1403,"กลุ่มพะยูนศรีตรัง จังหวัดตรัง",หน่วยบริการที่รับการส่งต่อ,เอกชน,0858889433,,29,,,พระงาม,ทับเที่ยง,เมืองตรัง,ตรัง,92000,,,,
G8930,กลุ่มสายรุ้งรุ่งเจริญ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0994101796,,31,,,เทศบาล10,นาโยงเหนือ,นาโยง,ตรัง,92170,,,,
G1464,"ชมรมรักเพื่อน ตำบลบ่อพลอย อำเภอบ่อไร่ จังหวัดตราด",หน่วยบริการที่รับการส่งต่อ,เอกชน,092-1822651,,29,04,,,บ่อพลอย,บ่อไร่,ตราด,23140,,,,"นางสาวธัญญาภร แผ่นททอง <ladtvaybo@gmail.com> 099-3235628"
G1463,ชมรมรักเพื่อนเขาสมิง,หน่วยบริการที่รับการส่งต่อ,เอกชน,089-0031498,,75,01,,สุขุมวิท,แสนตุ้ง,เขาสมิง,ตราด,23150,,,,
G8921,"กลุ่มมอบความหวัง Give Hope Group จังหวัดตาก",หน่วยบริการที่รับการส่งต่อ,เอกชน,0910788169,,455/5,04,,,แม่ระมาด,แม่ระมาด,ตาก,63140,,,,
G1491,ชมรมเมฆขาว,หน่วยบริการที่รับการส่งต่อ,เอกชน,0864091392,,1-100,,,สุวรรณศร,นครนายก,เมืองนครนายก,นครนายก,26000,,,,
G1365,"กลุ่ม Friendly Club จังหวัดนครปฐม",หน่วยบริการที่รับการส่งต่อ,เอกชน,0898937980,,191/17,,,"29 มกรา",พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,73000,,,,
F0429,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย สำนักงานจังหวัดนครปฐม",หน่วยบริการที่รับการส่งต่อ,เอกชน,0855544494,,151/8-9,,,สระแก้ว,พระประโทน,เมืองนครปฐม,นครปฐม,73000,,,,
F0414,"มูลนิธิเอ็มพลัส จังหวัดนครราชสีมา",หน่วยบริการที่รับการส่งต่อ,เอกชน,0989452699,,564/1,,,ช้างเผือก,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000,,,,
G8929,กลุ่มมหาราช,หน่วยบริการที่รับการส่งต่อ,เอกชน,0817478311,,198,,,ราชดำเนิน,ในเมือง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,,,,
G8928,กลุ่มใจสู่ใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0807173867,,23,08,,,ชะอวด,ชะอวด,นครศรีธรรมราช,80180,,,,
F0421,"มูลนิธิรักษ์ไทย จังหวัดนครศรีธรรมราช",หน่วยบริการที่รับการส่งต่อ,เอกชน,075450779,,"161,163",,,วันดีโฆษิตกุลพร,ในเมือง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,,,,"คุณแสงตะวัน งามกาหลง <saengtawan_nk@raksthai.org> 063 497 8298"
F0407,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย จังหวัดนครสวรรค์",หน่วยบริการที่รับการส่งต่อ,เอกชน,056-002419,,625/1,,,โกสีย์,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,60000,,,,
G8893,กลุ่มนราธิวาส,หน่วยบริการที่รับการส่งต่อ,เอกชน,0862921074,,180,,,ระแงะมรรคา,บางนาค,เมืองนราธิวาส,นราธิวาส,96000,,,,"นางสาวพรพนา เจ๊ะกา <์nara100418@gmail.com> 0862921074"
G8908,กลุ่มบุหงาตันหยง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0652846514,,86,01,,ระแงะมรรคา,ตันหยงมัส,ระแงะ,นราธิวาส,96130,,,,"นางคอตีเราะ บูละ <> 065-2846514 ประธานกลุ่ม"
G8906,กลุ่มฟ้าใหม่,หน่วยบริการที่รับการส่งต่อ,เอกชน,0650715595,,184/5,02,,,รือเสาะ,รือเสาะ,นราธิวาส,96150,,,,
F0450,"มูลนิธิซิสเตอร์ (ศูนย์น่าน)",หน่วยบริการที่รับการส่งต่อ,เอกชน,0968563852,,415,03,,,กลางเวียง,เวียงสา,น่าน,55110,,,,"สุจิรา ไชยแล <Sujira.sisters@gmail.com> 0861188897 ผู้ประสานงานโครงการ | ฐิติญานันท์ หนักป้อ <Thitiyanun.sister@gmail.com> 0828551491 ผู้อำนวยการ"
G8917,กลุ่มโฮมใจศรีวิไล,หน่วยบริการที่รับการส่งต่อ,เอกชน,0988613876,,300,11,,ศรีวิไล-ชุมภูทอง,ศรีวิไล,ศรีวิไล,บึงกาฬ,38210,,,,
G8918,กลุ่มสายใยมิตรภาพอำเภอละหานทราย,หน่วยบริการที่รับการส่งต่อ,เอกชน,0622953537,,55,08,,,ละหานทราย,ละหานทราย,บุรีรัมย์,31170,,,,"นายไพทูรณ์ เปรียวไธสง <> 0622953537"
G8936,กลุ่มแสงส่องใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0898474944,,692,,,โชคชัย-เดชอุดม,นางรอง,นางรอง,บุรีรัมย์,31110,,,,
F0435,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย สำนักงานจังหวัดพระนครศรีอยุธยา",หน่วยบริการที่รับการส่งต่อ,เอกชน,0810583430,,"10/4 ห้อง2",,,ราเมศวร,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13000,,,,"นิพนธ์ ไร่นา <niphonraina@gmail.com> 0810583430"
G1497,กลุ่มสู่ชีวิตใหม่,หน่วยบริการที่รับการส่งต่อ,เอกชน,094-8307519,,7,07,,จุน-ปง,ห้วยข้าวก่ำ,จุน,พะเยา,56150,,,,"นางพิราภรณ์ จันธิมา <Piraporn.rommy@gmail.com> 094-8307519 ประธานกลุ่ม"
G1496,ชมรมเพื่อนใจดอกคำใต้,หน่วยบริการที่รับการส่งต่อ,เอกชน,0979524382,,225,04,,,ดอนศรีชุม,ดอกคำใต้,พะเยา,56120,,,,"นางสาวสมศรี แสงอรุณ <somsrisang1111@gmail.com> 0979524382 ประธานชมรม"
G1440,ศูนย์บริการสุขภาพที่เป็นมิตรน้ำกว๊านสีรุ้ง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0955982143,,414/12,11,,,บ้านต๋อม,เมืองพะเยา,พะเยา,56000,,,,"ภัคนันท์ เครือแก้ว <phakkhanan.kr@namkwansirung.org> 0903313406 | สุพัฒน์ คำก๋อง <suphat.kh@namkwansirung.org> 0959804149"
G1477,"ศูนย์องค์รวมอำเภอเมือง จังหวัดพะเยา",หน่วยบริการที่รับการส่งต่อ,เอกชน,083-5804413,,269,11,,,บ้านต๋อม,เมืองพะเยา,พะเยา,56000,,,,"อ้อย เมืองวงค์ <> 0835804413 ประธาน"
G8899,กลุ่มดอกพะยอมบาน,หน่วยบริการที่รับการส่งต่อ,เอกชน,"0802615539, 0931769678",,171,02,,,ป่าพะยอม,ป่าพะยอม,พัทลุง,93210,,,,"นางวาสนา รักจันทร์ <vanasanarah@gmail.com> 0931769678 ประธานกลุ่มดอกพะยอมบาน"
G1453,มูลนิธิสกายสีม่วงพัทลุง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0836532062,,161,02,,,ท่ามิหรำ,เมืองพัทลุง,พัทลุง,93000,,,,
F0408,"มูลนิธิเอ็มพลัส จังหวัดพิษณุโลก",หน่วยบริการที่รับการส่งต่อ,เอกชน,"097 146 2723",,262/19-22,,,ราษฏร์อุทิศ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000,,,,
G8909,"กลุ่ม HUG Sarakham",หน่วยบริการที่รับการส่งต่อ,เอกชน,0878137116,,899/29,01,,,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,44150,,,,
G1481,"กลุ่มหอแก้วสีรุ้ง จังหวัดมุกดาหาร",หน่วยบริการที่รับการส่งต่อ,เอกชน,0628899994,,"744 บ้านภูมโนรมย์",09,,,นาสีนวน,เมืองมุกดาหาร,มุกดาหาร,49000,,,,
G8911,"กลุ่มแอ็คทีม ร้อยเอ็ด (ACTTEAM ROI ET)",หน่วยบริการที่รับการส่งต่อ,เอกชน,0828556517,,35/10,,,"ถนนกองพล 10",ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,,,,
F0321,"มูลนิธิคณะนักบุญคามิลโลแห่งประเทศไทย คามิลเลียน โซเชียล เซนเตอร์ ระยอง",หน่วยบริการที่รับการส่งต่อ,เอกชน,0899360080,,1/1,,คีรี,,ห้วยโป่ง,เมืองระยอง,ระยอง,21150,,,,
F0412,"มูลนิธิซิสเตอร์ ศูนย์ระยอง จังหวัดระยอง",หน่วยบริการที่รับการส่งต่อ,เอกชน,0959529052,,139/22,,,ราษฎร์บำรุง,เนินพระ,เมืองระยอง,ระยอง,21000,,,,
G8933,ชมรมสายธาร,หน่วยบริการที่รับการส่งต่อ,เอกชน,0656491441,,146,04,,,ท่านัด,ดำเนินสะดวก,ราชบุรี,70130,,,,
G1479,กลุ่มชมรมเพื่อนแก้ว,หน่วยบริการที่รับการส่งต่อ,เอกชน,"0895546903 , 0816725931",,280,,,พหลโยธิน,หัวเวียง,เมืองลำปาง,ลำปาง,52100,,,pk.lampang63@gmail.com,"สิทธิวัฒน์ ใจวัง <sitiwat52j@gmail.com> 08 9554 6903 ประธานชมรมเพื่อนแก้ว/ประสานงาน | ไตรภพ เจตธีรธนา <traiphop.k456@gmail.com> 09 3132 8060 ประสานงาน"
G1468,กลุ่มชาววัง,หน่วยบริการที่รับการส่งต่อ,เอกชน,086-1326366,,362,04,,,วังเหนือ,วังเหนือ,ลำปาง,52140,,,narapornpankaew16@gmail.com,"นราภรณ์ พานแก้ว <narapornpankaew16@gmail.com> 0861326366 ประธานกลุ่ม/ผู้ประสานงาน"
G8915,กลุ่มทานตะวัน,หน่วยบริการที่รับการส่งต่อ,เอกชน,0850321750,,289,10,,,แม่ทะ,แม่ทะ,ลำปาง,52150,,,ิboonmee1750@gmail.com,"บุญม๊ วงศ์เครือใจ <ฺฺboonmee1750@gmail.com> 0850321750"
G8900,กลุ่มรวมน้ำใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0810186358,,230,04,,สุขประชาสรร,หลวงเหนือ,งาว,ลำปาง,52110,,,,"แสงจันทร์ อักษร <saengjan.ak@gmail.com> 081-0186358"
G8914,กลุ่มแสงตะวัน,หน่วยบริการที่รับการส่งต่อ,เอกชน,"0985457094,0901794120",,199,01,,,ทุ่งงาม,เสริมงาม,ลำปาง,52210,,,somsri16j@gmail.com,"นางสมศรี เสาร์เทพ <somsri16j@gmail.com> 0895457094"
G8916,"ชมรมพลังใหม่ ๒๐๐๑",หน่วยบริการที่รับการส่งต่อ,เอกชน,0997711706,,195,03,,,วิเชตนคร,แจ้ห่ม,ลำปาง,52120,,,,"นางแววดาว แต้มดี <waewdaowtaemdee@gmail.com> 0997711706"
G1467,กลุ่มช่วยเพื่อนชาวลี้,หน่วยบริการที่รับการส่งต่อ,เอกชน,0954643094,,111,07,,,ลี้,ลี้,ลำพูน,51110,,,,"นางพงศ์เพ็ญ วรรรเวศ <pongrada011@gmail.com> 095-4643094 ให้คำปรึกษา/ทำกลุ่ม/ให้ความรู้/เยี่ยมบ้าน/คีย์ข้อมูล | นางอรุณี คำปัน <> 086-1149068 ให้คำปรึกษา/ทำกลุ่ม/ให้ความรู้/เยี่ยมบ้าน"
G1367,มูลนิธิวีแคป,หน่วยบริการที่รับการส่งต่อ,เอกชน,"052034237,0653831798,0822591997",https://www.facebook.com/vcap.foundation,343/385,06,18,จามเทวี,เหมืองง่า,เมืองลำพูน,ลำพูน,51000,"052034237,0653831798",vcap.lpu@gmail.com,vcap.lpu@gmail.com,"วุธสิทธิกร ณ ลำปาง <topwuttikorn@gmail.com> 0822591997 ผู้อำนวยการ/ให้คำปรึกษา | ธนทปพร สุวรรณหล้า <kanthanakon@gmail.com> 0989426192 รองผู้อำนวยการ/ให้คำปรึกษา"
G1475,กลุ่มกำลังใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0818793227,,636,06,,,หนองฉลอง,ขุขันธ์,ศรีสะเกษ,33140,,,,"นาย วีรพล ทองเต็ม <nuii2515ahotmail.com> 081-8793227"
G8891,กลุ่มกำลังใจขุนหาญ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0973341464,,42,13,,,กันทรอม,ขุนหาญ,ศรีสะเกษ,33150,,,,"นางณัฐพร พิมพ์วรเมธากุล <pronnata62@gmail.com> 0973341464"
G1495,กลุ่มสร้างสรรค์กำลังใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0895039554,,446,05,,ดำรงสถิต,น้ำอ้อม,กันทรลักษ์,ศรีสะเกษ,33110,,,,
G1471,กลุ่มเพื่อนช่วยเพื่อนอำเภอเมืองศรีสะเกษ,หน่วยบริการที่รับการส่งต่อ,เอกชน,086-2578623,,0859,,,กสิกรรม,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,33000,,,,"นางสาวสุพรรณ พิเดช <prunky.tnp@hotmail.com> 086-2578623 ผู้จัดการหน่วย/คีย์ข้อมูล | นางพัชรากร อินทนนท์ <phatcharakorn0@gmail.com> 087-2520408"
G8892,กลุ่มแสงตะวัน,หน่วยบริการที่รับการส่งต่อ,เอกชน,0891836010,,183,05,,,ดูน,กันทรารมย์,ศรีสะเกษ,33130,,,,
G8922,"กลุ่มคนทำงานดูแลผู้ใช้สารเสพติดจังหวัดสงขลา (Care Team)",หน่วยบริการที่รับการส่งต่อ,เอกชน,"065-0364527,074-800143",,62/4,01,,สุขาภิบาล1,บ้านนา,จะนะ,สงขลา,90130,,,,
G8927,กลุ่มดอกไม้บาน,หน่วยบริการที่รับการส่งต่อ,เอกชน,0851285503,,5/1,05,,ราษฎร์บำรุง,ระโนด,ระโนด,สงขลา,90140,,,,
F0405,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย สำนักงานจังหวัดสงขลา",หน่วยบริการที่รับการส่งต่อ,เอกชน,074-232101,,97,,,"นิพัทธ์สงเคราะห์ 2",หาดใหญ่,หาดใหญ่,สงขลา,90110,,,,
G8904,ศูนย์นี้มีรอยยิ้ม,หน่วยบริการที่รับการส่งต่อ,เอกชน,0635198239,,165,,,บางลี่-หนองวัลย์เปรียง,สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,72110,,,,"เสาวนีย์ วรกิจเจริญชัย <Sao.wor@gmail.com> 0635198239"
F0420,"มูลนิธิรักษ์ไทย จังหวัดสุราษฎร์ธานี",หน่วยบริการที่รับการส่งต่อ,เอกชน,077960177,,58/27-28,01,,,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84100,,,,
G1465,ชมรมหัวใจสีแดง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0992949296,,2/1,12,,,บ้านกล้วย,เมืองสุโขทัย,สุโขทัย,64000,,,,
F0396,มูลนิธิเอ็มเฟรนด์อุดรธานี,หน่วยบริการที่รับการส่งต่อ,เอกชน,042-119998,,132/9,01,บ้านหนองบัว,นิตโย,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000,,,,
G8903,ชมรมเพื่อนวันพุธ,หน่วยบริการที่รับการส่งต่อ,เอกชน,0802451942,,38,,,เจษฎาบดินทร์,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,53000,,,,"นางประภา ณ เชียงใหม่ <> 080-2451942 ประธาน | นายบัวแก้ว บุราณะผาย <bbuakaeo@gmail.com> 099-2369119 เหรัญญิก"
G1470,กลุ่มจิตอารีย์,หน่วยบริการที่รับการส่งต่อ,เอกชน,0807964841,,83,06,,แจ้งสนิท,เขื่องใน,เขื่องใน,อุบลราชธานี,34150,0807964841,,,"นางรัชนี พุทธาจู <ruchanee2010@hotmail.com> 0897921343 ผู้ปฏิบัตงาน | นางชำนาญ เชื้อประทุม <> 0822263546 ผูปฏิบัติงาน"
G8912,กลุ่มชีวิตก้าวไกลโรงพยาบาลน้ำยืน,หน่วยบริการที่รับการส่งต่อ,เอกชน,"0930989199 0931037672",,234,07,,,สีวิเชียร,น้ำยืน,อุบลราชธานี,34260,,,,"นางสาวกัญญาวีร์ สระแสง <> 0931037672"
G1474,กลุ่มทานตะวัน,หน่วยบริการที่รับการส่งต่อ,เอกชน,0862546064,,299,19,,"โชคชัย เดชอุดม",เมืองเดช,เดชอุดม,อุบลราชธานี,34160,,,,
G8896,กลุ่มสะเดาหวานโรงพยาบาลวารินชำราบ,หน่วยบริการที่รับการส่งต่อ,เอกชน,094-2627928,,46,06,,ศรีสะเกษ,คำน้ำแซบ,วารินชำราบ,อุบลราชธานี,34190,,,,"นส.รดามณี ห่อนิล <radamanee.h@gmail.com> 094-2627928 - | นางดุจเดือน คำมั่น <khamman-05@hotmail.com> 081-5482925 | นายศุภวัฒน์ ค่ำมั่น <-> 085-0156619"
G8897,กลุ่มแก่งสะพือสัมพันธ์,หน่วยบริการที่รับการส่งต่อ,เอกชน,0613641395,,20/6,,,"เทศบาล 2",พิบูล,พิบูลมังสาหาร,อุบลราชธานี,34110,,,,"นางกาญจนา ภิบาลวงษ์ <kanjana12052517@gmail.com> 0613671395 บริการให้คำปรึกษา/คีข้อมูล/ประสานงาน | นางทองใส พรมเย็น <-> 0931100345"
G8910,ชมรมตระการสดใส,หน่วยบริการที่รับการส่งต่อ,เอกชน,0854988184,,207,08,,,ขุหลุ,ตระการพืชผล,อุบลราชธานี,34130,,,,"นางบุญหลาย เจริญรอย <boonlai242535@gmail.com> 085-4988184"
F0489,มูลนิธิรักษ์ไทยสำนักงานจังหวัดอุบลราชธานี,หน่วยบริการที่รับการส่งต่อ,เอกชน,045240136,,89,,"เลี่ยงเมือง 7",เลี่ยงเมือง,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,34000,,,,
F0416,มูลนิธิเพื่อสุขภาพและการแบ่งปัน,หน่วยบริการที่รับการส่งต่อ,เอกชน,045953649,,192,07,,วิศฺษฐ์ศรี,เขมราฐ,เขมราฐ,อุบลราชธานี,34170,,,,
F0406,"สมาคมฟ้าสีรุ้งแห่งประเทศไทย สำนักงานจังหวัดอุบลราชธานี",หน่วยบริการที่รับการส่งต่อ,เอกชน,045-957070,http://www.rsat.info/,542,,,พิชิตรังสรรค์,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,34000,,,,"นายธีรศักดิ์ ประสานพิม <teerasak.p@rsat.info> 0887755838 สำนักงานนโยบายและแผน"
G8905,"กลุ่มพิทักษ์อนามัย อำเภอเทิง",หน่วยบริการที่รับการส่งต่อ,เอกชน,0870479561,,146,20,,เทิง-เชียงราย,เวียง,เทิง,เชียงราย,57160,,,,"นางดวงทิพย์ แปงหมื่น <daungthip.123@gmail.com> 0870479561 ประธานกลุ่ม พิทักษ์อนามัยอำเภอเทิง"
G1469,กลุ่มมะขามป้อม,หน่วยบริการที่รับการส่งต่อ,เอกชน,053603128,,263,03,,,เวียงชัย,เวียงชัย,เชียงราย,57120,,,,"นางสาวยุพิน บัวอินทร์ <yupinbouin.841.@gmail.com> 0857194841 ประธานกลุ่ม"
G8932,กลุ่มเพื่อนชีวิตดอยหลวง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0835778847,,68,08,,,ปงน้อย,ดอยหลวง,เชียงราย,57110,,,,"ติ๋ม พรมเมือง <> 0835778847"
G1466,กลุ่มใจประสานใจ,หน่วยบริการที่รับการส่งต่อ,เอกชน,053721345,,516,01,,พหลโยธิน,ม่วงคำ,พาน,เชียงราย,57120,,,,"กชพรรณ วังฐาน <kungcr01@gmail.com> 0835801387 ประธานกลุ่ม"
G8931,ชมรมสายธารรัก,หน่วยบริการที่รับการส่งต่อ,เอกชน,0851262521,,115,06,,,ม่วงยาย,เวียงแก่น,เชียงราย,57310,,,,"นายกิตติพงศ์ วงศ์บุญชัยเลิศ <skwong81@gmail.com> 0851262521 ประธานกลุ่ม"
F0453,"มูลนิธิ ฅ ฅน เพื่อการเปลี่ยนแปลง",หน่วยบริการที่รับการส่งต่อ,เอกชน,053711519,,572/12,04,22,,ริมกก,เมืองเชียงราย,เชียงราย,57100,,,,
F0410,"มูลนิธิเอ็มพลัส จังหวัดเชียงราย",หน่วยบริการที่รับการส่งต่อ,เอกชน,"052 026 357",,997/5,,,สถานพยาบาล,เวียง,เมืองเชียงราย,เชียงราย,57000,,,,
G1438,"กลุ่ม V - Power อาสาสมัครพัมนาชุมชนและการคุ้มครองสิทธิ",หน่วยบริการที่รับการส่งต่อ,เอกชน,0981536146,,-,,,,ยุหว่า,สันป่าตอง,เชียงใหม่,50120,,,,
G8913,ชมรมดอกไม้ป่า,หน่วยบริการที่รับการส่งต่อ,เอกชน,0861900922,,259,02,,"เชียงใหม่ - ฮอด",ดอยแก้ว,จอมทอง,เชียงใหม่,50160,,,,
G1472,ชมรมสู่ขวัญดอยหลวง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0956970278,,286,01,,,เชียงดาว,เชียงดาว,เชียงใหม่,50170,,,,"น.ส.สกาวเดือน สมเกตุ <noy.sako@gmail.com> 09560278"
G1498,"ชมรมเพื่อสุขภาพ ร.พ.ฝาง",หน่วยบริการที่รับการส่งต่อ,เอกชน,0954489816,,2,17,,,สันทราย,ฝาง,เชียงใหม่,50110,,,,"วิภา คำยวง <> 0954489816"
G1473,ชมรมใจเขาใจเรา,หน่วยบริการที่รับการส่งต่อ,เอกชน,"0813879156,0903185599",,-,,,ถนนเชียงใหม่-ฮอด,ยุหว่า,สันป่าตอง,เชียงใหม่,50120,,,,"นางประภัสสร ไชยโสภา <Chaisopa19@gmail.com> 0813879156 เจ้าหน้าที่หน่วยบริการ / ผู้ประสานงาน"
