org_name_th|org_name_en|type|region|province|address|phone|email|website|facebook|contact_person|target_population|services|status|source_url|notes
เครือข่ายผู้ติดเชื้อเอชไอวี/เอดส์ ประเทศไทย|Thai Network of People Living with HIV/AIDS (TNP+)|Network|Central/Bangkok|Bangkok|494 ซ.ลาดพร้าว 14 ซ.101 แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240|||.|TNPplus||PLHIV|Peer support, advocacy, treatment adherence||https://apnplus.org/network/thai-network-of-people-living-with-hiv-aids-tnp/|PLHIV network; regional chapters nationwide; advocacy > service
คณะกรรมการองค์กรพัฒนาเอกชนด้านเอดส์ (กพอ.)|Thai NGO Coalition on AIDS (TNCA)|Network|Central/Bangkok|Bangkok|494 ซ.14 ถ.ลาดพร้าว 101 แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240|02-377-5255||https://tncathai.org/|||All KPs|Coordination, policy, capacity building|verified|https://tncathai.org/|Key umbrella body — contact them for full list of 71 registered orgs
มูลนิธิสถาบันเพื่อการวิจัยและนวัตกรรมด้านเอชไอวี|Institute of HIV Research and Innovation (IHRI)|Foundation|Central/Bangkok|Bangkok||||https://ihri.org/|IHRIofficial||MSM, TGW|Research, lab accreditation TA, KPLHS curriculum||https://ihri.org/|Key technical partner; not direct service but drives certification; decision-maker in NHSO ม.3 registration pipeline
มูลนิธิเอเชียแปซิฟิกเพื่อสุขภาพทางเพศชาย|APCOM|Foundation|Central/Bangkok|Bangkok|66/1 ถ.สุขุมวิท 2 แขวงคลองเตย กรุงเทพฯ 10110|02-255-4410|apcom@apcom.org|https://www.apcom.org/|||MSM, TGW|Regional advocacy, policy, networking||https://www.apcom.org/|Regional; influencer/connector role not direct NAP reporter
มูลนิธิเพื่อรัก|Love Foundation|Foundation|North|Chiang Mai|Room B3 ชั้น 2 อาคาร 89 ม.4 CBP ซ.6 ต.หนองป่าครั่ง อ.เมือง จ.เชียงใหม่ 50000|082-716-5988||https://lovefoundation.or.th/|Lovefoundationth||MSM, TGW|HIV/STI testing, PrEP, PEP, home test kits||https://lovefoundation.or.th/en/|Tech-savvy: built Sisterhood app with Gilead; digital-first organization
แอ็คทีม ขอนแก่น|ACTTEAM Khon Kaen Medical Technology Clinic|CBO|Northeast|Khon Kaen|164/29 ถ.ชาตะผดุง ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000|043-002-350|actteamkhonkaen@gmail.com|https://www.actteam.net|||MSM, TGW, MSW, PWID|HIV screening, PrEP, syphilis, HCV screening||https://love2test.org/clinic/actteam|Priority: registered Medical Technology Clinic (NHSO-accreditable); STAR project / Global Fund
มูลนิธิเอ็มเฟรนด์อุดรธานี|M-Friends Udonthani Foundation|Foundation|Northeast|Udon Thani|132/9 ม.1 ซ.บ้านหนองบัว ถ.นิตโย ต.หมากแข้ง อ.เมือง จ.อุดรธานี|093-396-9458, 093-076-6646||http://mfriendsfoundation.com/|||MSM, TGW, PWUD|HIV/syphilis testing, PrEP/PEP referral||https://love2test.org/clinic/MFriends|Priority: est. 2006; LINKAGES-supported; main Northeast CBO besides Khon Kaen
มูลนิธิบ้าน HON (Health and Opportunity Network)|HON Foundation|Foundation|Central/Bangkok|Bangkok|ซ.กรุงเทพฯ-นนทบุรี 56 แขวงวงศ์สว่าง (BTS Wong Sawang ~500m)|||https://hon.co.th/|||LGBTQ+, TGW, MSM|HIV/AIDS, SRH, counseling|verified|https://hon.co.th/health-service-center/|Priority: explicitly registered NHSO ม.3 unit (confirmed); expanded from Pattaya to Bangkok 2025
มูลนิธิเอ็มพาวเวอร์|Empower Foundation|Foundation|Central|Nonthaburi|57/60 ถ.ติวานนท์ จ.นนทบุรี 11000|02-526-8311|badgirls@empowerfoundation.org|http://www.empowerfoundation.org/|||FSW|Sex worker support, HIV info, legal, education||http://www.empowerfoundation.org/|TNCA founding member; also has CM center serving 3,000 SW
มูลนิธิพันธมิตรคนข้ามเพศเพื่อสิทธิมนุษยชน (ThaiTGA)|Foundation of Thai Transgender Alliance for Human Rights|Foundation|Central/Bangkok|Bangkok|145/11 Richy Tower ถ.เพชรเกษม แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพฯ 10160||thaitga@gmail.com|http://thaitga.org/|||TGW|Advocacy, gender recognition||http://thaitga.org/en|Partners with Sisters Foundation; advocacy > direct NAP reporting
มูลนิธิดรีมลอปเมนท์|Dreamlopments Foundation|Foundation|Central/Bangkok|Bangkok|||||||PWID, general|HCV treatment, HIV testing, PrEP (integrated with Ozone)|likely||Partner of Ozone; tech-forward; free integrated care
